ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.02,2.3,LeVeon Bell,RB,PIT,324,12
1.03,2.6,Jamaal Charles,RB,KC,344,6
1.03,2.6,Eddie Lacy,RB,GB,351,9
1.05,4.5,Adrian Peterson,RB,MIN,368,10
1.05,4.7,Marshawn Lynch,RB,SEA,357,4
1.07,6.7,Antonio Brown,WR,PIT,423,12
1.07,6.8,Matt Forte,RB,CHI,354,9
1.08,8.0,LeSean McCoy,RB,BUF,405,9
1.09,8.8,Rob Gronkowski,TE,NE,376,10
1.10,9.7,Dez Bryant,WR,DAL,410,11
2.02,11.7,Odell Beckham Jr,WR,NYG,393,8
2.02,12.3,Arian Foster,RB,HOU,432,10
2.03,12.5,DeMarco Murray,RB,PHI,304,7
2.04,13.7,Demaryius Thomas,WR,DEN,407,4
2.05,14.6,CJ Anderson,RB,DEN,446,4
2.05,15.2,Calvin Johnson,WR,DET,417,9
2.06,16.2,Julio Jones,WR,ATL,426,9
2.07,17.0,Jordy Nelson,WR,GB,464,9
2.08,18.1,Jeremy Hill,RB,CIN,403,4
2.10,20.3,Andrew Luck,QB,IND,313,10
3.01,20.7,Aaron Rodgers,QB,GB,402,9
3.01,21.2,A.J. Green,WR,CIN,390,4
3.03,23.1,Randall Cobb,WR,GB,402,9
3.04,24.0,Alshon Jeffery,WR,CHI,392,9
3.06,25.9,Jimmy Graham,TE,SEA,326,4
3.06,26.0,T.Y. Hilton,WR,IND,401,10
3.07,27.3,Mike Evans,WR,TB,380,7
3.08,28.0,Mark Ingram,RB,NO,378,6
3.09,29.3,Emmanuel Sanders,WR,DEN,372,4
3.10,29.9,Alfred Morris,RB,WAS,392,10
4.01,30.5,Justin Forsett,RB,BAL,355,11
4.02,32.2,Lamar Miller,RB,MIA,359,5
4.03,32.8,Kelvin Benjamin,WR,CAR,400,12
4.04,34.4,Frank Gore,RB,IND,388,10
4.05,34.7,DeAndre Hopkins,WR,HOU,409,10
4.05,34.9,Carlos Hyde,RB,SF,388,8
4.07,37.3,Peyton Manning,QB,DEN,324,4
4.08,37.9,Joique Bell,RB,DET,360,9
4.10,39.7,Tre Mason,RB,STL,380,4
4.10,39.9,Jordan Matthews,WR,PHI,373,7
5.01,40.5,Brandin Cooks,WR,NO,339,6
5.01,40.9,Russell Wilson,QB,SEA,364,4
5.04,44.0,Latavius Murray,RB,OAK,353,5
5.06,45.7,Julian Edelman,WR,NE,276,10
5.06,46.0,Brandon Marshall,WR,NYJ,265,11
5.06,46.4,Jonathan Stewart,RB,CAR,382,12
5.07,46.6,Andre Ellington,RB,ARI,326,4
5.07,47.2,Andre Johnson,WR,IND,413,10
5.07,47.3,Sammy Watkins,WR,BUF,345,9
5.09,49.3,Greg Olsen,TE,CAR,336,12
5.10,50.0,Drew Brees,QB,NO,298,6
6.01,50.7,Golden Tate,WR,DET,323,9
6.01,51.1,Travis Kelce,TE,KC,337,6
6.04,53.6,Isaiah Crowell,RB,CLE,372,4
6.04,53.8,DeSean Jackson,WR,WAS,395,10
6.06,55.6,Jeremy Maclin,WR,KC,317,6
6.07,57.0,Devonta Freeman,RB,ATL,387,9
6.07,57.1,Tom Brady,QB,NE,331,10
6.07,57.3,Martavis Bryant,WR,PIT,407,12
6.10,60.4,Jarvis Landry,WR,MIA,377,5
7.01,60.9,Rashad Jennings,RB,NYG,295,8
